customer_id,customer_name,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
KC-16540,Kelly Collister,Consumer,97,4,3908.262,3,1,4,314,Hibernating
DL-13315,Delfina Latchford,Consumer,22,8,1458.258,5,4,2,542,Hibernating
DR-12880,Dan Reichenbach,Corporate,3,9,6528.034000000001,5,5,5,555,Champions
CC-12670,Craig Carreira,Consumer,29,7,2269.7015,4,3,3,433,Loyal Customers
Dl-13600,Dorris liebe,Corporate,119,5,755.602,2,2,1,221,Lost Customers
SB-20290,Sean Braxton,Corporate,47,7,8057.891,4,4,5,445,Champions
RC-19825,Roy Collins,Consumer,369,6,966.409,1,3,2,132,Hibernating
AH-10210,Alan Hwang,Consumer,6,9,4805.344,5,5,5,555,Champions
CB-12535,Claudia Bergmann,Corporate,197,8,4246.4555,2,4,4,244,At Risk
CA-12310,Christine Abelman,Corporate,13,4,1421.954,5,1,2,512,Potential Loyalists
KH-16690,Kristen Hastings,Corporate,2,7,5990.799,5,4,5,545,Champions
BB-10990,Barry Blumstein,Corporate,105,5,744.3399999999999,2,2,1,221,Lost Customers
AG-10495,Andrew Gjertsen,Corporate,78,8,2356.855,3,4,3,343,Loyal Customers
JO-15280,Jas O'Carroll,Consumer,92,6,1934.272,3,3,3,333,Loyal Customers
AH-10195,Alan Haines,Corporate,55,4,1587.452,3,1,2,312,Need Attention
NZ-18565,Nick Zandusky,Home Office,85,9,2488.31,3,5,3,353,Loyal Customers
KL-16555,Kelly Lampkin,Corporate,16,8,5016.488,5,4,5,545,Champions
AS-10225,Alan Schoenberger,Corporate,22,5,4260.784,5,2,4,524,Potential Loyalists
CR-12625,Corey Roper,Home Office,470,3,475.9,1,1,1,111,Lost Customers
SH-20395,Shahid Hopkins,Consumer,23,10,2180.718,5,5,3,553,Loyal Customers
BP-11185,Ben Peterman,Corporate,1,9,3675.861,5,5,4,554,Champions
TS-21205,Thomas Seio,Corporate,198,7,5371.09,2,4,5,245,At Risk
AG-10525,Andy Gerbode,Corporate,845,4,1455.038,1,1,2,112,Lost Customers
SP-20860,Sung Pak,Corporate,79,10,4282.94,3,5,5,355,Loyal Customers
NM-18445,Nathan Mautz,Home Office,160,7,6459.344,2,4,5,245,At Risk
FA-14230,Frank Atkinson,Corporate,97,7,2984.054,3,3,4,334,Loyal Customers
GK-14620,Grace Kelly,Corporate,112,9,6497.27,2,5,5,255,At Risk
DJ-13510,Don Jones,Corporate,48,8,2501.688,4,4,3,443,Loyal Customers
PO-18850,Patrick O'Brill,Consumer,4,11,7473.8282,5,5,5,555,Champions
JL-15850,John Lucas,Consumer,614,6,2725.256,1,3,3,133,At Risk
DB-13615,Doug Bickford,Consumer,33,7,1989.05,4,3,3,433,Loyal Customers
AC-10420,Alyssa Crouse,Corporate,232,3,925.8,1,1,1,111,Lost Customers
CC-12550,Clay Cheatham,Consumer,27,3,113.832,4,1,1,411,New Customers
TD-20995,Tamara Dahlen,Consumer,37,9,1434.5480000000002,4,5,2,452,Hibernating
AB-10060,Adam Bellavance,Home Office,54,8,7755.62,3,4,5,345,Loyal Customers
JL-15505,Jeremy Lonsdale,Consumer,49,6,3173.874,4,3,4,434,Loyal Customers
VB-21745,Victoria Brennan,Corporate,54,6,2005.596,3,3,3,333,Loyal Customers
KW-16435,Katrina Willman,Consumer,96,5,4416.52,3,2,5,325,Hibernating
JD-16060,Julia Dunbar,Consumer,300,3,695.442,1,1,1,111,Lost Customers
MK-17905,Michael Kennedy,Corporate,28,8,2302.368,4,4,3,443,Loyal Customers
GT-14755,Guy Thornton,Consumer,34,4,226.436,4,1,1,411,New Customers
AG-10900,Arthur Gainer,Consumer,96,10,4510.797,3,5,5,355,Loyal Customers
MM-18280,Muhammed MacIntyre,Corporate,85,9,775.414,3,5,1,351,Hibernating
AR-10405,Allen Rosenblatt,Corporate,125,5,2236.128,2,2,3,223,About to Sleep
RA-19915,Russell Applegate,Consumer,12,9,4793.543,5,5,5,555,Champions
AS-10285,Alejandro Savely,Corporate,19,6,3214.236,5,3,4,534,Loyal Customers
LA-16780,Laura Armstrong,Corporate,154,11,8673.222,2,5,5,255,At Risk
DO-13435,Denny Ordway,Consumer,133,9,1300.0315,2,5,2,252,Hibernating
DK-13225,Dean Katz,Corporate,10,9,4802.394,5,5,5,555,Champions
NG-18430,Nathan Gelder,Consumer,48,5,1395.938,4,2,2,422,Potential Loyalists
MV-18190,Mike Vittorini,Consumer,19,7,1734.574,5,4,2,542,Hibernating
JG-15115,Jack Garza,Consumer,758,3,2358.676,1,1,3,113,About to Sleep
BP-11095,Bart Pistole,Corporate,17,12,2442.044,5,5,3,553,Loyal Customers
VP-21730,Victor Preis,Home Office,30,3,993.902,4,1,2,412,Potential Loyalists
SS-20140,Saphhira Shifley,Corporate,15,8,1324.028,5,4,2,542,Hibernating
AG-10675,Anna Gayman,Consumer,97,7,3489.0396000000005,3,3,4,334,Loyal Customers
LF-17185,Luke Foster,Consumer,22,7,3930.509,5,4,4,544,Champions
RF-19840,Roy Französisch,Consumer,6,8,945.222,5,4,1,541,Hibernating
KH-16510,Keith Herrera,Consumer,22,7,5952.859,5,4,5,545,Champions
KC-16675,Kimberly Carter,Corporate,57,4,1146.05,3,1,2,312,Need Attention
CJ-12010,Caroline Jumper,Consumer,189,8,11164.974,2,4,5,245,At Risk
PB-19150,Philip Brown,Consumer,97,8,1456.95,3,4,2,342,Hibernating
MP-17965,Michael Paige,Corporate,72,9,3983.642,3,5,4,354,Loyal Customers
NF-18385,Natalie Fritzler,Consumer,79,7,8322.826,3,4,5,345,Loyal Customers
SD-20485,Shirley Daniels,Home Office,200,9,6121.114,2,5,5,255,At Risk
KH-16630,Ken Heidel,Corporate,58,9,3918.966,3,5,4,354,Loyal Customers
RB-19795,Ross Baird,Home Office,32,8,5633.316000000001,4,4,5,445,Champions
MK-18160,Mike Kennedy,Consumer,240,4,1031.602,1,2,2,122,Lost Customers
PO-19180,Philisse Overcash,Home Office,160,9,4893.043,2,5,5,255,At Risk
BB-11545,Brenda Bowman,Corporate,28,9,6765.728,4,5,5,455,Champions
TB-21595,Troy Blackwell,Consumer,285,5,1387.559,1,2,2,122,Lost Customers
RB-19360,Raymond Buch,Consumer,96,6,15117.339,3,3,5,335,Loyal Customers
EB-13705,Ed Braxton,Corporate,48,9,3644.978,4,5,4,454,Champions
SC-20095,Sanjit Chand,Consumer,349,9,14142.334,1,5,5,155,At Risk
TN-21040,Tanja Norvell,Home Office,90,7,3130.221,3,4,4,344,Loyal Customers
JS-15940,Joni Sundaresam,Home Office,463,5,469.169,1,2,1,121,Lost Customers
MH-17785,Maya Herman,Corporate,98,7,2203.778,3,4,3,343,Loyal Customers
JP-15520,Jeremy Pistek,Consumer,8,7,3635.594,5,4,4,544,Champions
JE-15475,Jeremy Ellison,Consumer,193,6,1388.682,2,3,2,232,Hibernating
JG-15805,John Grady,Corporate,223,6,1507.018,2,3,2,232,Hibernating
XP-21865,Xylona Preis,Consumer,43,11,2374.658,4,5,3,453,Loyal Customers
EM-14065,Erin Mull,Consumer,47,4,228.99,4,1,1,411,New Customers
MT-18070,Michelle Tran,Home Office,203,4,1319.4498,2,2,2,222,Lost Customers
SA-20830,Sue Ann Reed,Consumer,63,10,4767.3415,3,5,5,355,Loyal Customers
CW-11905,Carl Weiss,Home Office,22,6,1136.592,5,3,2,532,Hibernating
AJ-10960,Astrea Jones,Consumer,74,3,629.2479999999999,3,1,1,311,Need Attention
SS-20590,Sonia Sunley,Consumer,432,6,418.49,1,3,1,131,Hibernating
RO-19780,Rose O'Brian,Consumer,35,7,3815.478,4,4,4,444,Champions
MD-17350,Maribeth Dona,Consumer,117,7,3766.382,2,4,4,244,At Risk
MY-17380,Maribeth Yedwab,Corporate,29,7,2254.285,4,4,3,443,Loyal Customers
CM-12385,Christopher Martinez,Consumer,37,4,8954.019999999999,4,1,5,415,Potential Loyalists
LS-17245,Lynn Smith,Consumer,34,6,1008.136,4,3,2,432,Hibernating
BN-11515,Bradley Nguyen,Consumer,9,5,1459.344,5,2,2,522,Potential Loyalists
DB-13210,Dean Braden,Consumer,9,10,2332.577,5,5,3,553,Loyal Customers
MC-17605,Matt Connell,Corporate,112,8,2258.192,2,4,3,243,At Risk
BD-11605,Brian Dahlen,Consumer,97,7,3288.471,3,3,4,334,Loyal Customers
PH-18790,Patricia Hirasaki,Home Office,70,1,729.648,3,1,1,311,Need Attention
MG-18145,Mike Gockenbach,Consumer,84,4,3061.543,3,2,4,324,Hibernating
KB-16240,Karen Bern,Corporate,4,7,3152.615,5,4,4,544,Champions
JC-15340,Jasper Cacioppo,Consumer,114,4,71.263,2,1,1,211,Lost Customers
RL-19615,Rob Lucas,Consumer,121,8,6234.91,2,4,5,245,At Risk
AA-10375,Allen Armold,Consumer,19,9,1056.39,5,5,2,552,Hibernating
EP-13915,Emily Phan,Consumer,12,17,5478.0608,5,5,5,555,Champions
DK-12985,Darren Koutras,Consumer,7,5,1687.04,5,2,2,522,Potential Loyalists
BD-11500,Bradley Drucker,Consumer,35,6,4411.243,4,3,5,435,Loyal Customers
LM-17065,Liz MacKendrick,Consumer,391,5,1346.774,1,2,2,122,Lost Customers
AS-10135,Adrian Shami,Home Office,41,2,58.82,4,1,1,411,New Customers
BD-11320,Bill Donatelli,Consumer,33,12,5718.521,4,5,5,455,Champions
GT-14710,Greg Tran,Consumer,36,11,11820.12,4,5,5,455,Champions
AJ-10945,Ashley Jarboe,Consumer,85,7,1839.24,3,3,3,333,Loyal Customers
OT-18730,Olvera Toch,Consumer,65,5,3818.624,3,2,4,324,Hibernating
LP-17080,Liz Pelletier,Consumer,40,4,756.606,4,1,1,411,New Customers
CA-12775,Cynthia Arntzen,Consumer,120,7,3041.566,2,3,4,234,At Risk
JF-15490,Jeremy Farry,Consumer,121,11,1082.918,2,5,2,252,Hibernating
FP-14320,Frank Preis,Consumer,23,8,4046.746,5,4,4,544,Champions
EB-13840,Ellis Ballard,Corporate,90,5,4358.128,3,2,5,325,Hibernating
JF-15415,Jennifer Ferguson,Consumer,2,6,2371.448,5,3,3,533,Loyal Customers
SF-20200,Sarah Foster,Consumer,59,9,3422.786,3,5,4,354,Loyal Customers
TG-21640,Trudy Glocke,Consumer,114,4,2074.661,2,2,3,223,About to Sleep
CS-11950,Carlos Soltero,Consumer,25,11,3036.547,5,5,4,554,Champions
CC-12145,Charles Crestani,Consumer,106,7,2471.65,2,3,3,233,At Risk
DV-13465,Dianna Vittorini,Consumer,29,6,3341.587,4,3,4,434,Loyal Customers
BD-11725,Bruce Degenhardt,Consumer,93,6,1526.5,3,3,2,332,Hibernating
ZC-21910,Zuschuss Carroll,Consumer,54,13,8025.707,3,5,5,355,Loyal Customers
MS-17830,Melanie Seite,Consumer,452,4,370.348,1,2,1,121,Lost Customers
LR-16915,Lena Radford,Consumer,26,6,5142.892,5,3,5,535,Loyal Customers
TP-21130,Theone Pippenger,Consumer,8,9,4454.0560000000005,5,5,5,555,Champions
CK-12205,Chloris Kastensmidt,Consumer,39,13,3154.855,4,5,4,454,Champions
AS-10240,Alan Shonely,Consumer,192,7,584.6080000000001,2,3,1,231,Hibernating
AR-10510,Andrew Roberts,Consumer,14,5,264.86400000000003,5,2,1,521,Need Attention
NB-18655,Nona Balk,Corporate,19,9,1972.599,5,5,3,553,Loyal Customers
GD-14590,Giulietta Dortch,Corporate,5,4,1888.07,5,1,3,513,Potential Loyalists
CK-12595,Clytie Kelty,Consumer,43,11,2372.75,4,5,3,453,Loyal Customers
NG-18355,Nat Gilpin,Corporate,48,5,1869.58,4,2,3,423,Potential Loyalists
CA-12265,Christina Anderson,Consumer,56,9,2648.2872,3,5,3,353,Loyal Customers
SF-20965,Sylvia Foulston,Corporate,48,9,3336.535,4,5,4,454,Champions
MO-17800,Meg O'Connel,Home Office,104,8,1687.0269999999998,2,4,2,242,Hibernating
AT-10735,Annie Thurman,Consumer,13,10,3831.864,5,5,4,554,Champions
FM-14380,Fred McMath,Consumer,145,9,2523.266,2,5,3,253,At Risk
DJ-13420,Denny Joy,Corporate,637,4,2012.52,1,1,3,113,About to Sleep
ME-17725,Max Engle,Consumer,28,8,1908.4532,4,4,3,443,Loyal Customers
JD-16150,Justin Deggeller,Corporate,41,8,8828.0305,4,4,5,445,Champions
JL-15835,John Lee,Consumer,21,11,9799.923,5,5,5,555,Champions
SC-20305,Sean Christensen,Consumer,29,7,3979.065,4,4,4,444,Champions
CC-12430,Chuck Clark,Home Office,0,10,2870.05,5,5,4,554,Champions
AR-10825,Anthony Rawles,Corporate,58,8,4523.336,3,4,5,345,Loyal Customers
SR-20740,Steven Roelle,Home Office,196,8,4345.886,2,4,5,245,At Risk
CR-12730,Craig Reiter,Consumer,78,4,1600.55,3,1,2,312,Need Attention
EH-14125,Eugene Hildebrand,Home Office,152,10,3082.653,2,5,4,254,At Risk
SP-20545,Sibella Parks,Corporate,327,6,1306.086,1,3,2,132,Hibernating
TH-21235,Tiffany House,Corporate,117,8,1022.201,2,4,2,242,Hibernating
RP-19390,Resi Pölking,Consumer,33,12,5153.084,4,5,5,455,Champions
RB-19570,Rob Beeghly,Consumer,25,5,528.546,5,2,1,521,Need Attention
CD-11980,Carol Darley,Consumer,54,3,639.766,3,1,1,311,Need Attention
DJ-13630,Doug Jacobs,Consumer,12,3,3356.398,5,1,4,514,Potential Loyalists
GT-14635,Grant Thornton,Corporate,56,3,9351.212,3,1,5,315,Hibernating
MC-17845,Michael Chen,Consumer,1,7,3805.714,5,4,4,544,Champions
RA-19285,Ralph Arnett,Consumer,5,9,2617.906,5,5,3,553,Loyal Customers
NP-18325,Naresj Patel,Consumer,25,6,5529.62,5,3,5,535,Loyal Customers
AB-10165,Alan Barnes,Consumer,25,8,1113.838,5,4,2,542,Hibernating
JO-15550,Jesus Ocampo,Home Office,215,5,1090.838,2,2,2,222,Lost Customers
JK-15370,Jay Kimmel,Consumer,44,8,2709.632,4,4,3,443,Loyal Customers
BN-11470,Brad Norvell,Corporate,24,4,265.296,5,1,1,511,New Customers
DP-13165,David Philippe,Consumer,812,2,1058.616,1,1,2,112,Lost Customers
TH-21550,Tracy Hopkins,Home Office,72,7,4234.0960000000005,3,4,4,344,Loyal Customers
AP-10915,Arthur Prichep,Consumer,98,10,3323.556,3,5,4,354,Loyal Customers
RS-19765,Roland Schwarz,Corporate,36,8,4159.77,4,4,4,444,Champions
SV-20365,Seth Vernon,Consumer,101,10,11470.95,3,5,5,355,Loyal Customers
CK-12325,Christine Kargatis,Home Office,120,5,2945.321,2,2,4,224,About to Sleep
RD-19810,Ross DeVincentis,Home Office,14,8,1137.616,5,4,2,542,Hibernating
MR-17545,Mathew Reese,Home Office,125,4,639.178,2,2,1,221,Lost Customers
SC-20695,Steve Chapman,Corporate,89,10,2576.408,3,5,3,353,Loyal Customers
JF-15355,Jay Fein,Consumer,105,6,1911.844,2,3,3,233,At Risk
EG-13900,Emily Grady,Consumer,22,5,1832.02,5,2,3,523,Potential Loyalists
DS-13030,Darrin Sayre,Home Office,93,4,1762.213,3,1,3,313,Hibernating
PO-19195,Phillina Ober,Home Office,86,5,1056.858,3,2,2,322,Need Attention
SS-20875,Sung Shariari,Consumer,120,5,964.636,2,2,2,222,Lost Customers
PB-19105,Peter Bühler,Consumer,57,4,688.324,3,2,1,321,Need Attention
RF-19735,Roland Fjeld,Consumer,89,7,2341.2960000000003,3,4,3,343,Loyal Customers
YC-21895,Yoseph Carroll,Corporate,4,5,5454.35,5,3,5,535,Loyal Customers
DC-13285,Debra Catini,Consumer,23,5,1174.618,5,2,2,522,Potential Loyalists
CP-12340,Christine Phan,Corporate,160,8,5888.275,2,4,5,245,At Risk
BF-11020,Barry Französisch,Corporate,74,8,2888.506,3,4,4,344,Loyal Customers
LH-17020,Lisa Hazard,Consumer,239,4,318.239,1,1,1,111,Lost Customers
CS-12250,Chris Selesnick,Corporate,26,12,2754.216,5,5,4,554,Champions
AJ-10795,Anthony Johnson,Corporate,166,7,4501.391,2,3,5,235,At Risk
BV-11245,Benjamin Venier,Corporate,334,5,1523.273,1,2,2,122,Lost Customers
DL-12865,Dan Lawera,Consumer,100,8,1503.112,3,4,2,342,Hibernating
BM-11785,Bryan Mills,Consumer,218,10,1338.842,2,5,2,252,Hibernating
LT-17110,Liz Thompson,Consumer,34,8,2936.252,4,4,4,444,Champions
JK-15730,Joe Kamberova,Consumer,84,10,4867.2,3,5,5,355,Loyal Customers
ES-14020,Erica Smith,Consumer,40,5,3510.458,4,2,4,424,Potential Loyalists
RH-19495,Rick Hansen,Consumer,32,5,3621.376,4,2,4,424,Potential Loyalists
CD-11920,Carlos Daly,Consumer,40,5,2033.968,4,2,3,423,Potential Loyalists
HW-14935,Helen Wasserman,Corporate,117,8,9300.254,2,4,5,245,At Risk
MC-18130,Mike Caudle,Corporate,369,5,1581.9979999999998,1,2,2,122,Lost Customers
GM-14440,Gary McGarr,Consumer,83,7,3582.82,3,3,4,334,Loyal Customers
PJ-19015,Pauline Johnson,Consumer,134,7,1824.234,2,4,3,243,At Risk
BW-11110,Bart Watters,Corporate,121,8,4750.358,2,4,5,245,At Risk
TR-21325,Toby Ritter,Consumer,193,5,675.9419999999999,2,3,1,231,Hibernating
PG-18820,Patrick Gardner,Consumer,36,13,3086.907,4,5,4,454,Champions
JL-15175,James Lanier,Home Office,6,5,1571.523,5,2,2,522,Potential Loyalists
BM-11650,Brian Moss,Corporate,33,11,7294.185,4,5,5,455,Champions
EM-14095,Eudokia Martin,Corporate,113,4,1041.042,2,1,2,212,Lost Customers
AF-10885,Art Foster,Consumer,415,4,861.565,1,1,1,111,Lost Customers
GA-14725,Guy Armstrong,Consumer,5,11,1398.382,5,5,2,552,Hibernating
CK-12760,Cyma Kinney,Corporate,82,9,1582.109,3,5,2,352,Hibernating
DP-13105,Dave Poirier,Corporate,6,8,2215.002,5,4,3,543,Loyal Customers
BK-11260,Berenike Kampe,Consumer,77,6,659.1379999999999,3,3,1,331,Hibernating
SJ-20125,Sanjit Jacobs,Home Office,95,12,3949.656,3,5,4,354,Loyal Customers
CM-12445,Chuck Magee,Consumer,436,3,287.99,1,1,1,111,Lost Customers
AJ-10780,Anthony Jacobs,Corporate,75,7,4867.344,3,3,5,335,Loyal Customers
