customer_id,recency_days,frequency_orders,monetary_value,total_profit,customer_name,segment,r_score,f_score,m_score,rfm_score,rfm_combined_score,customer_segment
AM-10360,29,5,814.012,194.9878,Alice McCarthy,Corporate,4,2,1,421,7,Potential Loyalists
AM-10705,163,8,5664.022,1085.7326,Anne McFarland,Consumer,2,4,5,245,11,At Risk
AO-10810,502,1,161.28,12.096,Anthony O'Donnell,Corporate,1,1,1,111,3,Hibernating / Lost
AP-10720,42,8,1638.554,285.7888,Anne Pryor,Home Office,4,4,2,442,10,Promising / Needs Attention
AP-10915,99,10,3323.556,579.3113,Arthur Prichep,Consumer,3,5,4,354,12,Loyal Customers
AR-10345,112,4,1055.694,-221.0544,Alex Russell,Corporate,2,1,2,212,5,Hibernating / Lost
AR-10405,126,5,2236.128,-98.7646,Allen Rosenblatt,Corporate,2,2,3,223,7,About to Sleep
AR-10510,15,5,264.86400000000003,43.6695,Andrew Roberts,Consumer,5,2,1,521,8,Potential Loyalists
AR-10540,7,6,6608.448,2884.6208,Andy Reiter,Consumer,5,3,5,535,13,Loyal Customers
AR-10570,535,1,88.15,32.633,Anemone Ratner,Consumer,1,1,1,111,3,Hibernating / Lost
AR-10825,59,8,4523.336,494.83519999999993,Anthony Rawles,Corporate,3,4,5,345,12,Loyal Customers
AS-10045,89,7,3050.692,-253.57459999999998,Aaron Smayling,Corporate,3,3,4,334,10,Loyal Customers
AS-10090,29,9,3255.31,64.53739999999998,Adam Shillingsburg,Consumer,4,5,4,454,13,Champions
AS-10135,42,2,58.82,21.8496,Adrian Shami,Home Office,4,1,1,411,6,Potential Loyalists
AS-10225,23,5,4260.784,719.7751000000001,Alan Schoenberger,Corporate,5,2,4,524,11,Potential Loyalists
AS-10240,193,7,584.6080000000001,33.715799999999994,Alan Shonely,Consumer,2,3,1,231,6,Promising / Needs Attention
AS-10285,20,6,3214.236,354.62760000000003,Alejandro Savely,Corporate,5,3,4,534,12,Loyal Customers
AS-10630,93,7,833.398,136.49190000000002,Ann Steele,Home Office,3,3,1,331,7,Promising / Needs Attention
AT-10435,22,6,1171.814,100.87680000000002,Alyssa Tate,Home Office,5,3,2,532,10,Potential Loyalists
AT-10735,14,10,3831.864,974.107,Annie Thurman,Consumer,5,5,4,554,14,Champions
AW-10840,21,4,649.376,65.77250000000001,Anthony Witt,Consumer,5,1,1,511,7,Potential Loyalists
AW-10930,47,7,2852.968,-104.5486,Arthur Wiediger,Home Office,4,3,4,434,11,Loyal Customers
AY-10555,15,4,497.014,103.3499,Andy Yotov,Corporate,5,1,1,511,7,Potential Loyalists
AZ-10750,161,6,1622.0179999999998,154.9503,Annie Zypern,Consumer,2,3,2,232,7,Promising / Needs Attention
BB-10990,106,5,744.3399999999999,11.583900000000007,Barry Blumstein,Corporate,2,2,1,221,5,Hibernating / Lost
BB-11545,29,9,6765.728,1015.0749999999999,Brenda Bowman,Corporate,4,5,5,455,14,Champions
BC-11125,203,9,2933.676,251.5974,Becky Castell,Home Office,2,5,4,254,11,At Risk
BD-11320,34,12,5718.521,1094.5037,Bill Donatelli,Consumer,4,5,5,455,14,Champions
BD-11500,36,6,4411.2429999999995,1142.1225,Bradley Drucker,Consumer,4,3,5,435,12,Loyal Customers
BD-11560,279,2,320.54,116.714,Brendan Dodson,Home Office,1,1,1,111,3,Hibernating / Lost
BD-11605,98,7,3288.471,634.8463,Brian Dahlen,Consumer,3,3,4,334,10,Loyal Customers
BD-11620,70,6,1538.11,206.75689999999997,Brian DeCherney,Consumer,3,3,2,332,8,Promising / Needs Attention
BD-11635,10,3,582.646,141.53400000000002,Brian Derr,Consumer,5,1,1,511,7,Potential Loyalists
BD-11725,94,6,1526.5,333.9791,Bruce Degenhardt,Consumer,3,3,2,332,8,Promising / Needs Attention
BD-11770,328,6,658.466,141.265,Bryan Davis,Consumer,1,3,1,131,5,Promising / Needs Attention
BE-11335,120,5,4204.676,1487.7739000000001,Bill Eplett,Home Office,2,2,4,224,8,About to Sleep
BE-11410,99,5,2261.438,755.9150999999999,Bobby Elias,Consumer,3,2,3,323,8,Promising / Needs Attention
BE-11455,255,6,1727.652,139.20080000000002,Brad Eason,Home Office,1,3,2,132,6,Promising / Needs Attention
BF-10975,92,7,599.798,227.4384,Barbara Fisher,Corporate,3,3,1,331,7,Promising / Needs Attention
BF-11005,40,4,1333.88,-291.38109999999995,Barry Franz,Home Office,4,1,2,412,7,Potential Loyalists
BF-11020,75,8,2888.506,302.02,Barry Französisch,Corporate,3,4,4,344,11,Loyal Customers
BF-11080,26,3,272.95,110.9272,Bart Folk,Consumer,5,1,1,511,7,Potential Loyalists
BF-11170,17,11,5907.972,1538.2127,Ben Ferrer,Home Office,5,5,5,555,15,Champions
BF-11215,66,4,1585.162,523.2133,Benjamin Farhat,Home Office,3,1,2,312,6,Promising / Needs Attention
BF-11275,58,3,791.9899999999999,25.870199999999997,Beth Fritzler,Corporate,3,1,1,311,5,Promising / Needs Attention
BG-11035,29,8,2798.948,-711.4274,Barry Gonzalez,Consumer,4,4,4,444,12,Champions
BG-11695,37,6,1874.172,107.5715,Brooke Gillingham,Corporate,4,3,3,433,10,Loyal Customers
BG-11740,58,6,1006.356,119.34790000000001,Bruce Geld,Consumer,3,3,2,332,8,Promising / Needs Attention
BH-11710,24,8,6255.351,802.7898,Brosina Hoffman,Consumer,5,4,5,545,14,Champions
BK-11260,78,6,659.1379999999999,-63.764399999999995,Berenike Kampe,Consumer,3,3,1,331,7,Promising / Needs Attention
BM-11140,308,4,11789.63,-1659.9580999999998,Becky Martin,Consumer,1,1,5,115,7,About to Sleep
BM-11575,101,6,808.162,95.58160000000001,Brendan Murry,Corporate,3,3,1,331,7,Promising / Needs Attention
BM-11650,34,11,7294.185,2199.2781,Brian Moss,Corporate,4,5,5,455,14,Champions
BM-11785,219,10,1338.842,137.7439,Bryan Mills,Consumer,2,5,2,252,9,Promising / Needs Attention
BN-11470,25,4,265.296,36.6131,Brad Norvell,Corporate,5,1,1,511,7,Potential Loyalists
BN-11515,10,5,1459.344,340.7054,Bradley Nguyen,Consumer,5,2,2,522,9,Potential Loyalists
BO-11350,138,5,2682.728,278.77700000000004,Bill Overfelt,Corporate,2,2,3,223,7,About to Sleep
BO-11425,76,2,130.83,59.4522,Bobby Odegard,Consumer,3,1,1,311,5,Promising / Needs Attention
BP-11050,84,5,983.42,209.78300000000002,Barry Pond,Corporate,3,2,2,322,7,Promising / Needs Attention
BP-11095,18,12,2442.044,433.9751,Bart Pistole,Corporate,5,5,3,553,13,Loyal Customers
BP-11155,90,6,1697.8609999999999,647.3847000000001,Becky Pak,Consumer,3,3,2,332,8,Promising / Needs Attention
BP-11185,2,9,3675.861,363.5991,Ben Peterman,Corporate,5,5,4,554,14,Champions
BP-11230,40,5,1181.49,-197.2695,Benjamin Patterson,Consumer,4,2,2,422,8,Potential Loyalists
BP-11290,13,7,2475.157,-319.0637,Beth Paige,Consumer,5,3,3,533,11,Loyal Customers
BS-11365,559,5,10501.653,2616.0643999999998,Bill Shonely,Corporate,1,2,5,125,8,About to Sleep
BS-11380,29,5,3887.834,-17.532200000000024,Bill Stewart,Corporate,4,2,4,424,10,Potential Loyalists
BS-11590,36,6,2454.928,381.7807,Brendan Sweed,Corporate,4,3,3,433,10,Loyal Customers
BS-11665,583,3,3288.1099999999997,238.73680000000002,Brian Stugart,Consumer,1,1,4,114,6,About to Sleep
BS-11755,2,7,2562.382,-113.29840000000003,Bruce Stewart,Consumer,5,3,3,533,11,Loyal Customers
BS-11800,266,2,949.4300000000001,194.0516,Bryan Spruell,Home Office,1,1,1,111,3,Hibernating / Lost
BT-11305,337,5,2567.656,417.5918,Beth Thompson,Home Office,1,2,3,123,6,About to Sleep
BT-11395,303,6,2186.6130000000003,257.9163,Bill Tyler,Corporate,1,3,3,133,7,At Risk
BT-11440,561,4,603.876,-77.5256,Bobby Trafton,Consumer,1,1,1,111,3,Hibernating / Lost
BT-11485,660,2,415.19599999999997,126.8694,Brad Thomas,Home Office,1,1,1,111,3,Hibernating / Lost
BT-11530,92,5,2684.4919999999997,409.4983,Bradley Talbott,Home Office,3,2,3,323,8,Promising / Needs Attention
BT-11680,21,7,3196.752,447.74839999999995,Brian Thompson,Consumer,5,3,4,534,12,Loyal Customers
BV-11245,335,5,1523.2730000000001,315.2214,Benjamin Venier,Corporate,1,2,2,122,5,Hibernating / Lost
BW-11065,213,3,385.516,-58.28659999999999,Barry Weirich,Consumer,2,1,1,211,4,Hibernating / Lost
BW-11110,122,8,4750.358,921.2574,Bart Watters,Corporate,2,4,5,245,11,At Risk
BW-11200,204,6,1738.406,246.9973,Ben Wallace,Consumer,2,3,2,232,7,Promising / Needs Attention
CA-11965,97,6,3789.7228,1143.3817,Carol Adams,Corporate,3,3,4,334,10,Loyal Customers
CA-12055,402,5,1679.7240000000002,211.2559,Cathy Armstrong,Home Office,1,2,2,122,5,Hibernating / Lost
CA-12265,57,9,2648.2872,279.6183,Christina Anderson,Consumer,3,5,3,353,11,Loyal Customers
CA-12310,14,4,1421.954,246.02179999999998,Christine Abelman,Corporate,5,1,2,512,8,Potential Loyalists
CA-12775,121,7,3041.566,204.48950000000002,Cynthia Arntzen,Consumer,2,3,4,234,9,At Risk
CB-12025,48,10,6076.139,150.2089,Cassandra Brandow,Consumer,4,5,5,455,14,Champions
CB-12415,27,8,1949.2,272.3883,Christy Brittain,Consumer,5,4,3,543,12,Loyal Customers
CB-12535,198,8,4246.4555,1049.5601,Claudia Bergmann,Corporate,2,4,4,244,10,At Risk
CC-12100,458,6,1770.945,208.5912,Chad Cunningham,Home Office,1,3,3,133,7,At Risk
CC-12145,107,7,2471.65,392.2825,Charles Crestani,Consumer,2,3,3,233,8,At Risk
CC-12220,21,12,3913.418,393.9618,Chris Cortes,Consumer,5,5,4,554,14,Champions
CC-12370,44,5,12129.072000000002,2177.0493,Christopher Conant,Consumer,4,2,5,425,11,Potential Loyalists
CC-12430,1,10,2870.05,424.6583,Chuck Clark,Home Office,5,5,4,554,14,Champions
CC-12475,40,9,1659.438,154.851,Cindy Chapman,Consumer,4,5,2,452,11,Promising / Needs Attention
CC-12550,28,3,113.832,33.870599999999996,Clay Cheatham,Consumer,4,1,1,411,6,Potential Loyalists
CC-12610,35,7,2540.631,331.434,Corey Catlett,Corporate,4,3,3,433,10,Loyal Customers
CC-12670,30,7,2269.7015,187.8399,Craig Carreira,Consumer,4,3,3,433,10,Loyal Customers
CC-12685,800,4,2854.1150000000002,850.1591,Craig Carroll,Consumer,1,1,4,114,6,About to Sleep
CD-11920,41,5,2033.968,426.661,Carlos Daly,Consumer,4,2,3,423,9,Potential Loyalists
CD-11980,55,3,639.766,-206.7172,Carol Darley,Consumer,3,1,1,311,5,Promising / Needs Attention
CD-12280,43,2,1205.584,233.0274,Christina DeMoss,Consumer,4,1,2,412,7,Potential Loyalists
CD-12790,400,5,1860.732,403.8422,Cynthia Delaney,Home Office,1,2,3,123,6,About to Sleep
CG-12040,50,6,904.4680000000001,86.5106,Catherine Glotzbach,Home Office,4,3,1,431,8,Potential Loyalists
CG-12520,339,3,1148.7800000000002,169.93439999999998,Claire Gute,Consumer,1,1,2,112,4,Hibernating / Lost
CH-12070,692,3,1537.236,195.15109999999999,Cathy Hwang,Home Office,1,1,2,112,4,Hibernating / Lost
CJ-11875,366,1,16.52,1.652,Carl Jackson,Corporate,1,1,1,111,3,Hibernating / Lost
CJ-12010,190,8,11164.974,858.7414,Caroline Jumper,Consumer,2,4,5,245,11,At Risk
CK-12205,40,13,3154.855,141.2831,Chloris Kastensmidt,Consumer,4,5,4,454,13,Champions
CK-12325,121,5,2945.321,261.22090000000003,Christine Kargatis,Home Office,2,2,4,224,8,About to Sleep
CK-12595,44,11,2372.75,497.70980000000003,Clytie Kelty,Consumer,4,5,3,453,12,Loyal Customers
CK-12760,83,9,1582.109,-338.4311,Cyma Kinney,Corporate,3,5,2,352,10,Promising / Needs Attention
CL-11890,107,4,1262.0140000000001,328.0847,Carl Ludwig,Consumer,2,1,2,212,5,Hibernating / Lost
CL-12565,285,12,10880.546,1933.7830999999999,Clay Ludtke,Consumer,1,5,5,155,11,At Risk
CL-12700,106,5,2353.586,229.00990000000002,Craig Leslie,Home Office,2,2,3,223,7,About to Sleep
CM-11815,132,6,1673.888,214.463,Candace McMahon,Corporate,2,3,2,232,7,Promising / Needs Attention
CM-11935,709,2,565.392,-43.732400000000005,Carlos Meador,Consumer,1,1,1,111,3,Hibernating / Lost
CM-12115,9,4,1661.6100000000001,409.0679,Chad McGuire,Consumer,5,1,2,512,8,Potential Loyalists
CM-12160,27,6,2533.314,-394.3686,Charles McCrossin,Consumer,5,3,3,533,11,Loyal Customers
CM-12190,9,6,1475.144,91.2033,Charlotte Melton,Consumer,5,3,2,532,10,Potential Loyalists
CM-12235,386,5,2305.712,365.0387,Chris McAfee,Consumer,1,2,3,123,6,About to Sleep
CM-12385,38,4,8954.019999999999,3899.8903999999998,Christopher Martinez,Consumer,4,1,5,415,10,Potential Loyalists
CM-12445,437,3,287.99,64.4296,Chuck Magee,Consumer,1,1,1,111,3,Hibernating / Lost
CM-12655,28,6,6339.5576,1572.4585,Corinna Mitchell,Home Office,4,3,5,435,12,Loyal Customers
CM-12715,1036,4,3984.4524,176.3108,Craig Molinari,Corporate,1,1,4,114,6,About to Sleep
CP-12085,83,8,5402.254,427.0258,Cathy Prescott,Corporate,3,4,5,345,12,Loyal Customers
CP-12340,161,8,5888.275,-1850.3029000000001,Christine Phan,Corporate,2,4,5,245,11,At Risk
CR-12580,58,4,2148.852,74.40129999999999,Clay Rozendal,Home Office,3,1,3,313,7,Promising / Needs Attention
CR-12625,471,3,475.9,144.7594,Corey Roper,Home Office,1,1,1,111,3,Hibernating / Lost
CR-12730,79,4,1600.55,306.9176,Craig Reiter,Consumer,3,1,2,312,6,Promising / Needs Attention
CR-12820,86,3,1397.8724,83.27029999999999,Cyra Reiten,Home Office,3,1,2,312,6,Promising / Needs Attention
CS-11845,92,5,1278.954,185.3776,Cari Sayre,Corporate,3,2,2,322,7,Promising / Needs Attention
CS-11860,163,6,537.632,105.8275,Cari Schnelling,Consumer,2,3,1,231,6,Promising / Needs Attention
CS-11950,26,11,3036.547,-126.4223,Carlos Soltero,Consumer,5,5,4,554,14,Champions
CS-12130,490,4,884.64,143.8339,Chad Sievert,Consumer,1,1,1,111,3,Hibernating / Lost
CS-12175,233,5,844.4580000000001,113.1405,Charles Sheldon,Corporate,1,2,1,121,4,Hibernating / Lost
CS-12250,27,12,2754.216,738.3626,Chris Selesnick,Corporate,5,5,4,554,14,Champions
CS-12355,7,11,3202.1620000000003,831.9432,Christine Sundaresam,Consumer,5,5,4,554,14,Champions
CS-12400,3,9,3651.8585000000003,-342.80330000000004,Christopher Schild,Home Office,5,5,4,554,14,Champions
CS-12460,28,2,550.644,156.2593,Chuck Sachs,Consumer,4,1,1,411,6,Potential Loyalists
CS-12490,425,4,1077.2285,-302.8761,Cindy Schnelling,Corporate,1,1,2,112,4,Hibernating / Lost
CS-12505,59,6,5690.054999999999,-6626.389499999999,Cindy Stewart,Consumer,3,3,5,335,11,Loyal Customers
CT-11995,97,8,3241.898,161.22629999999995,Carol Triggs,Consumer,3,4,4,344,11,Loyal Customers
CV-12295,255,5,2830.6279999999997,493.0861,Christina VanderZanden,Consumer,1,2,4,124,7,About to Sleep
CV-12805,6,9,2370.3136,98.99749999999999,Cynthia Voltz,Corporate,5,5,3,553,13,Loyal Customers
CW-11905,23,6,1136.592,370.8298,Carl Weiss,Home Office,5,3,2,532,10,Potential Loyalists
CY-12745,61,8,2900.026,60.64670000000001,Craig Yedwab,Corporate,3,4,4,344,11,Loyal Customers
Co-12640,550,5,1300.076,205.62820000000002,Corey-Lock,Consumer,1,2,2,122,5,Hibernating / Lost
DA-13450,353,4,156.76,56.7904,Dianna Arnett,Home Office,1,1,1,111,3,Hibernating / Lost
DB-12910,22,8,2171.599,431.3748,Daniel Byrd,Home Office,5,4,3,543,12,Loyal Customers
DB-12970,242,5,2839.2272,213.00289999999998,Darren Budd,Corporate,1,2,4,124,7,About to Sleep
DB-13060,17,7,4531.646,473.0272,Dave Brooks,Consumer,5,3,5,535,13,Loyal Customers
DB-13120,49,7,2973.094,-1421.7692,David Bremer,Corporate,4,3,4,434,11,Loyal Customers
DB-13210,10,10,2332.577,169.9679,Dean Braden,Consumer,5,5,3,553,13,Loyal Customers
DB-13270,54,8,4655.897,841.8263999999999,Deborah Brumfield,Home Office,4,4,5,445,13,Champions
DB-13360,265,5,1081.466,291.0085,Dennis Bolton,Home Office,1,2,2,122,5,Hibernating / Lost
DB-13405,188,4,1711.692,438.9092,Denny Blanton,Consumer,2,1,2,212,5,Hibernating / Lost
DB-13555,108,7,3908.8028,109.32700000000001,Dorothy Badders,Corporate,2,3,4,234,9,At Risk
DB-13615,34,7,1989.05,438.80119999999994,Doug Bickford,Consumer,4,3,3,433,10,Loyal Customers
DB-13660,13,7,1155.202,177.67350000000002,Duane Benoit,Consumer,5,3,2,532,10,Potential Loyalists
DC-12850,38,9,3336.168,-1441.6312999999998,Dan Campbell,Consumer,4,5,4,454,13,Champions
DC-13285,24,5,1174.618,132.06820000000002,Debra Catini,Consumer,5,2,2,522,9,Potential Loyalists
DD-13570,42,6,269.542,36.4344,Dorothy Dickinson,Consumer,4,3,1,431,8,Potential Loyalists
DE-13255,720,5,2550.874,464.47139999999996,Deanra Eno,Home Office,1,2,3,123,6,About to Sleep
DF-13135,701,3,2390.534,-259.3097,David Flashing,Consumer,1,1,3,113,5,About to Sleep
DG-13300,33,5,3195.818,562.7761,Deirdre Greer,Corporate,4,2,4,424,10,Potential Loyalists
DH-13075,278,6,4932.872,1193.7404,Dave Hallsten,Corporate,1,3,5,135,9,At Risk
DH-13675,777,4,1043.096,116.667,Duane Huffman,Home Office,1,1,2,112,4,Hibernating / Lost
DJ-13420,638,4,2012.52,483.03499999999997,Denny Joy,Corporate,1,1,3,113,5,About to Sleep
DJ-13510,49,8,2501.6879999999996,345.2521,Don Jones,Corporate,4,4,3,443,11,Loyal Customers
DJ-13630,13,3,3356.398,731.5644,Doug Jacobs,Consumer,5,1,4,514,10,Potential Loyalists
DK-12835,22,12,3256.48,881.1228000000001,Damala Kotsonis,Corporate,5,5,4,554,14,Champions
DK-12895,46,5,4282.176,937.6496,Dana Kaydos,Consumer,4,2,4,424,10,Potential Loyalists
DK-12985,8,5,1687.04,-107.35379999999998,Darren Koutras,Consumer,5,2,2,522,9,Potential Loyalists
DK-13090,43,7,2650.557,536.3935,Dave Kipp,Consumer,4,3,3,433,10,Loyal Customers
DK-13150,11,2,797.832,249.9447,David Kendrick,Corporate,5,1,1,511,7,Potential Loyalists
DK-13225,11,9,4802.394,209.89940000000004,Dean Katz,Corporate,5,5,5,555,15,Champions
DK-13375,20,8,3318.486,377.0799,Dennis Kane,Consumer,5,4,4,544,13,Champions
DL-12865,101,8,1503.112,322.2449,Dan Lawera,Consumer,3,4,2,342,9,Promising / Needs Attention
DL-12925,58,6,3272.2,4.213200000000029,Daniel Lacy,Consumer,3,3,4,334,10,Loyal Customers
DL-13315,23,8,1458.258,288.8732,Delfina Latchford,Consumer,5,4,2,542,11,Promising / Needs Attention
DL-13330,58,4,585.02,222.6812,Denise Leinenbach,Consumer,3,1,1,311,5,Promising / Needs Attention
DL-13495,77,8,3539.322,-52.78799999999997,Dionis Lloyd,Corporate,3,4,4,344,11,Loyal Customers
DM-12955,115,7,1322.034,108.7583,Dario Medina,Corporate,2,3,2,232,7,Promising / Needs Attention
DM-13015,58,7,6345.103,1677.3931,Darrin Martin,Consumer,3,3,5,335,11,Loyal Customers
DM-13345,23,8,4074.4719999999998,1319.0586,Denise Monton,Corporate,5,4,4,544,13,Champions
DM-13525,482,3,1376.792,199.7688,Don Miller,Corporate,1,1,2,112,4,Hibernating / Lost
DN-13690,218,7,2139.79,540.5405000000001,Duane Noonan,Consumer,2,3,3,233,8,At Risk
DO-13435,134,9,1300.0315,-38.90860000000001,Denny Ordway,Consumer,2,5,2,252,9,Promising / Needs Attention
DO-13645,27,7,1267.316,294.0676,Doug O'Connell,Consumer,5,3,2,532,10,Potential Loyalists
DP-13000,127,9,1050.636,241.4524,Darren Powers,Consumer,2,5,2,252,9,Promising / Needs Attention
DP-13105,7,8,2215.002,563.1761,Dave Poirier,Corporate,5,4,3,543,12,Loyal Customers
DP-13165,813,2,1058.616,-40.93759999999999,David Philippe,Consumer,1,1,2,112,4,Hibernating / Lost
DP-13390,359,9,5480.723999999999,1571.8318,Dennis Pardue,Home Office,1,5,5,155,11,At Risk
DR-12880,4,9,6528.034000000001,1641.8613,Dan Reichenbach,Corporate,5,5,5,555,15,Champions
DR-12940,51,8,8350.868,2869.0759999999996,Daniel Raglin,Home Office,4,4,5,445,13,Champions
DS-13030,94,4,1762.213,193.3319,Darrin Sayre,Home Office,3,1,3,313,7,Promising / Needs Attention
DS-13180,24,9,2881.8128,163.6993,David Smith,Corporate,5,5,4,554,14,Champions
DV-13045,20,5,1119.483,-427.184,Darrin Van Huff,Corporate,5,2,2,522,9,Potential Loyalists
DV-13465,30,6,3341.587,353.2127,Dianna Vittorini,Consumer,4,3,4,434,11,Loyal Customers
DW-13195,70,6,1080.751,-86.87379999999999,David Wiener,Corporate,3,3,2,332,8,Promising / Needs Attention
DW-13480,218,5,5271.628,1348.7556,Dianna Wilson,Home Office,2,2,5,225,9,About to Sleep
DW-13540,99,5,344.08,69.6672,Don Weiss,Consumer,3,2,1,321,6,Promising / Needs Attention
DW-13585,243,7,1204.854,-266.8966,Dorothy Wardle,Corporate,1,3,2,132,6,Promising / Needs Attention
Dl-13600,120,5,755.602,175.2388,Dorris liebe,Corporate,2,2,1,221,5,Hibernating / Lost
Dp-13240,85,11,7198.7609999999995,333.36479999999995,Dean percer,Home Office,3,5,5,355,13,Loyal Customers
EA-14035,153,13,2846.705,-52.74059999999998,Erin Ashbrook,Corporate,2,5,4,254,11,At Risk
EB-13705,49,9,3644.978,13.621500000000005,Ed Braxton,Corporate,4,5,4,454,13,Champions
EB-13750,36,10,3236.314,-80.28599999999999,Edward Becker,Corporate,4,5,4,454,13,Champions
EB-13840,91,5,4358.128,656.1988,Ellis Ballard,Corporate,3,2,5,325,10,Promising / Needs Attention
EB-13870,101,10,2767.219,261.5315,Emily Burns,Consumer,3,5,4,354,12,Loyal Customers
EB-13930,162,5,944.6000000000001,0.6042000000000058,Eric Barreto,Consumer,2,2,1,221,5,Hibernating / Lost
EB-13975,1,4,1643.255,162.8781,Erica Bern,Corporate,5,1,2,512,8,Potential Loyalists
EB-14110,114,6,3071.126,184.7656,Eugene Barchas,Consumer,2,3,4,234,9,At Risk
EB-14170,83,6,1186.326,282.1701,Evan Bailliet,Consumer,3,3,2,332,8,Promising / Needs Attention
EC-14050,54,5,461.914,96.4256,Erin Creighton,Consumer,4,2,1,421,7,Potential Loyalists
ED-13885,136,8,3484.92,670.4435000000001,Emily Ducich,Home Office,2,4,4,244,10,At Risk
EG-13900,23,5,1832.02,104.2656,Emily Grady,Consumer,5,2,3,523,10,Potential Loyalists
EH-13765,136,12,10310.880000000001,1393.5154,Edward Hooks,Corporate,2,5,5,255,12,At Risk
EH-13945,218,8,684.1709999999999,53.53980000000001,Eric Hoffmann,Consumer,2,4,1,241,7,Promising / Needs Attention
