customer_id,customer_name,segment,recency,frequency,monetary,total_profit,total_quantity,first_order_date,last_order_date,aov,profit_margin_pct,r_score,f_score,m_score,rfm_score,rfm_combined_score,rfm_segment
BT-11440,Bobby Trafton,Consumer,560,4,603.876,-77.5256,16,2014-06-04,2016-06-18,150.97,-12.84,1,1,1,111,3,Lost Customers
BT-11485,Brad Thomas,Home Office,659,2,415.19599999999997,126.8694,11,2015-12-27,2016-03-11,207.6,30.56,1,1,1,111,3,Lost Customers
BT-11530,Bradley Talbott,Home Office,91,5,2684.4919999999997,409.4983,44,2014-05-21,2017-09-30,536.9,15.25,3,2,3,323,8,Hibernating
BT-11680,Brian Thompson,Consumer,20,7,3196.752,447.74839999999995,88,2014-11-28,2017-12-10,456.68,14.01,5,3,4,534,12,Loyal Customers
BV-11245,Benjamin Venier,Corporate,334,5,1523.2730000000001,315.2214,49,2015-03-26,2017-01-30,304.65,20.69,1,2,2,122,5,Lost Customers
BW-11065,Barry Weirich,Consumer,212,3,385.516,-58.28659999999999,8,2014-05-25,2017-06-01,128.51,-15.12,2,1,1,211,4,Lost Customers
BW-11110,Bart Watters,Corporate,121,8,4750.358,921.2574,74,2015-03-20,2017-08-31,593.79,19.39,2,4,5,245,11,At Risk
BW-11200,Ben Wallace,Consumer,203,6,1738.406,246.9973,49,2014-08-12,2017-06-10,289.73,14.21,2,3,2,232,7,Hibernating
CA-11965,Carol Adams,Corporate,96,6,3789.7228,1143.3817,29,2014-01-26,2017-09-25,631.62,30.17,3,3,4,334,10,Loyal Customers
CA-12055,Cathy Armstrong,Home Office,401,5,1679.7240000000002,211.2559,49,2015-09-05,2016-11-24,335.94,12.58,1,2,2,122,5,Lost Customers
CA-12265,Christina Anderson,Consumer,56,9,2648.2872,279.6183,65,2014-03-25,2017-11-04,294.25,10.56,3,5,3,353,11,Loyal Customers
CA-12310,Christine Abelman,Corporate,13,4,1421.954,246.02179999999998,25,2014-07-19,2017-12-17,355.49,17.3,5,1,2,512,8,Potential Loyalists
CA-12775,Cynthia Arntzen,Consumer,120,7,3041.566,204.48950000000002,72,2014-06-28,2017-09-01,434.51,6.72,2,3,4,234,9,At Risk
CB-12025,Cassandra Brandow,Consumer,47,10,6076.139,150.2089,122,2014-03-21,2017-11-13,607.61,2.47,4,5,5,455,14,Champions
CB-12415,Christy Brittain,Consumer,26,8,1949.2,272.3883,44,2015-11-05,2017-12-04,243.65,13.97,5,4,3,543,12,Loyal Customers
CB-12535,Claudia Bergmann,Corporate,197,8,4246.4555,1049.5601,74,2015-01-02,2017-06-16,530.81,24.72,2,4,4,244,10,At Risk
CC-12100,Chad Cunningham,Home Office,457,6,1770.945,208.5912,46,2014-12-16,2016-09-29,295.16,11.78,1,3,3,133,7,At Risk
CC-12145,Charles Crestani,Consumer,106,7,2471.65,392.2825,31,2014-07-20,2017-09-15,353.09,15.87,2,3,3,233,8,At Risk
CC-12220,Chris Cortes,Consumer,20,12,3913.418,393.9618,81,2014-09-09,2017-12-10,326.12,10.07,5,5,4,554,14,Champions
CC-12370,Christopher Conant,Consumer,43,5,12129.072000000002,2177.0493,34,2016-05-23,2017-11-17,2425.81,17.95,4,2,5,425,11,Potential Loyalists
CC-12430,Chuck Clark,Home Office,0,10,2870.05,424.6583,63,2015-09-06,2017-12-30,287.0,14.8,5,5,4,554,14,Champions
CC-12475,Cindy Chapman,Consumer,39,9,1659.438,154.851,40,2014-05-16,2017-11-21,184.38,9.33,4,5,2,452,11,Hibernating
CC-12550,Clay Cheatham,Consumer,27,3,113.832,33.870599999999996,14,2017-06-15,2017-12-03,37.94,29.75,4,1,1,411,6,New Customers
CC-12610,Corey Catlett,Corporate,34,7,2540.631,331.434,39,2014-08-27,2017-11-26,362.95,13.05,4,3,3,433,10,Loyal Customers
CC-12670,Craig Carreira,Consumer,29,7,2269.7015,187.8399,47,2014-12-23,2017-12-01,324.24,8.28,4,3,3,433,10,Loyal Customers
CC-12685,Craig Carroll,Consumer,799,4,2854.1150000000002,850.1591,51,2014-03-22,2015-10-23,713.53,29.79,1,1,4,114,6,About to Sleep
CD-11920,Carlos Daly,Consumer,40,5,2033.968,426.661,35,2014-03-24,2017-11-20,406.79,20.98,4,2,3,423,9,Potential Loyalists
CD-11980,Carol Darley,Consumer,54,3,639.766,-206.7172,22,2016-11-24,2017-11-06,213.26,-32.31,3,1,1,311,5,Need Attention
CD-12280,Christina DeMoss,Consumer,42,2,1205.584,233.0274,39,2017-11-05,2017-11-18,602.79,19.33,4,1,2,412,7,Potential Loyalists
CD-12790,Cynthia Delaney,Home Office,399,5,1860.732,403.8422,49,2014-02-02,2016-11-26,372.15,21.7,1,2,3,123,6,About to Sleep
CG-12040,Catherine Glotzbach,Home Office,49,6,904.4680000000001,86.5106,37,2015-06-01,2017-11-11,150.74,9.56,4,3,1,431,8,Hibernating
CG-12520,Claire Gute,Consumer,338,3,1148.7800000000002,169.93439999999998,14,2015-10-15,2017-01-26,382.93,14.79,1,1,2,112,4,Lost Customers
CH-12070,Cathy Hwang,Home Office,691,3,1537.236,195.15109999999999,13,2015-06-25,2016-02-08,512.41,12.69,1,1,2,112,4,Lost Customers
CJ-11875,Carl Jackson,Corporate,365,1,16.52,1.652,5,2016-12-30,2016-12-30,16.52,10.0,1,1,1,111,3,Lost Customers
CJ-12010,Caroline Jumper,Consumer,189,8,11164.974,858.7414,83,2016-03-10,2017-06-24,1395.62,7.69,2,4,5,245,11,At Risk
CK-12205,Chloris Kastensmidt,Consumer,39,13,3154.855,141.2831,122,2014-03-11,2017-11-21,242.68,4.48,4,5,4,454,13,Champions
CK-12325,Christine Kargatis,Home Office,120,5,2945.321,261.22090000000003,46,2014-03-14,2017-09-01,589.06,8.87,2,2,4,224,8,About to Sleep
CK-12595,Clytie Kelty,Consumer,43,11,2372.75,497.70980000000003,108,2014-12-26,2017-11-17,215.7,20.98,4,5,3,453,12,Loyal Customers
CK-12760,Cyma Kinney,Corporate,82,9,1582.109,-338.4311,64,2014-02-07,2017-10-09,175.79,-21.39,3,5,2,352,10,Hibernating
CL-11890,Carl Ludwig,Consumer,106,4,1262.0140000000001,328.0847,24,2014-07-26,2017-09-15,315.5,26.0,2,1,2,212,5,Lost Customers
CL-12565,Clay Ludtke,Consumer,284,12,10880.546,1933.7830999999999,106,2014-03-04,2017-03-21,906.71,17.77,1,5,5,155,11,At Risk
CL-12700,Craig Leslie,Home Office,105,5,2353.586,229.00990000000002,34,2016-04-24,2017-09-16,470.72,9.73,2,2,3,223,7,About to Sleep
CM-11815,Candace McMahon,Corporate,131,6,1673.888,214.463,38,2014-11-14,2017-08-21,278.98,12.81,2,3,2,232,7,Hibernating
CM-11935,Carlos Meador,Consumer,708,2,565.392,-43.732400000000005,18,2015-09-24,2016-01-22,282.7,-7.73,1,1,1,111,3,Lost Customers
CM-12115,Chad McGuire,Consumer,8,4,1661.6100000000001,409.0679,35,2015-03-29,2017-12-22,415.4,24.62,5,1,2,512,8,Potential Loyalists
CM-12160,Charles McCrossin,Consumer,26,6,2533.314,-394.3686,23,2016-10-21,2017-12-04,422.22,-15.57,5,3,3,533,11,Loyal Customers
CM-12190,Charlotte Melton,Consumer,8,6,1475.144,91.2033,21,2015-09-18,2017-12-22,245.86,6.18,5,3,2,532,10,Hibernating
CM-12235,Chris McAfee,Consumer,385,5,2305.712,365.0387,28,2016-05-01,2016-12-10,461.14,15.83,1,2,3,123,6,About to Sleep
CM-12385,Christopher Martinez,Consumer,37,4,8954.019999999999,3899.8903999999998,34,2015-03-16,2017-11-23,2238.5,43.55,4,1,5,415,10,Potential Loyalists
CM-12445,Chuck Magee,Consumer,436,3,287.99,64.4296,32,2014-06-09,2016-10-20,96.0,22.37,1,1,1,111,3,Lost Customers
CM-12655,Corinna Mitchell,Home Office,27,6,6339.5576,1572.4585,42,2015-03-19,2017-12-03,1056.59,24.8,4,3,5,435,12,Loyal Customers
CM-12715,Craig Molinari,Corporate,1035,4,3984.4524,176.3108,57,2014-03-07,2015-03-01,996.11,4.42,1,1,4,114,6,About to Sleep
CP-12085,Cathy Prescott,Corporate,82,8,5402.254,427.0258,57,2014-12-04,2017-10-09,675.28,7.9,3,4,5,345,12,Loyal Customers
CP-12340,Christine Phan,Corporate,160,8,5888.275,-1850.3029000000001,59,2014-03-17,2017-07-23,736.03,-31.42,2,4,5,245,11,At Risk
CR-12580,Clay Rozendal,Home Office,57,4,2148.852,74.40129999999999,32,2016-04-18,2017-11-03,537.21,3.46,3,1,3,313,7,Hibernating
CR-12625,Corey Roper,Home Office,470,3,475.9,144.7594,14,2014-06-01,2016-09-16,158.63,30.42,1,1,1,111,3,Lost Customers
CR-12730,Craig Reiter,Consumer,78,4,1600.55,306.9176,18,2014-08-20,2017-10-13,400.14,19.18,3,1,2,312,6,Need Attention
CR-12820,Cyra Reiten,Home Office,85,3,1397.8724,83.27029999999999,26,2015-01-24,2017-10-06,465.96,5.96,3,1,2,312,6,Need Attention
CS-11845,Cari Sayre,Corporate,91,5,1278.954,185.3776,22,2014-12-14,2017-09-30,255.79,14.49,3,2,2,322,7,Need Attention
CS-11860,Cari Schnelling,Consumer,162,6,537.632,105.8275,16,2014-05-02,2017-07-21,89.61,19.68,2,3,1,231,6,Hibernating
CS-11950,Carlos Soltero,Consumer,25,11,3036.547,-126.4223,68,2014-06-08,2017-12-05,276.05,-4.16,5,5,4,554,14,Champions
CS-12130,Chad Sievert,Consumer,489,4,884.64,143.8339,28,2014-08-05,2016-08-28,221.16,16.26,1,1,1,111,3,Lost Customers
CS-12175,Charles Sheldon,Corporate,232,5,844.4580000000001,113.1405,30,2014-08-12,2017-05-12,168.89,13.4,1,2,1,121,4,Lost Customers
CS-12250,Chris Selesnick,Corporate,26,12,2754.216,738.3626,97,2014-01-13,2017-12-04,229.52,26.81,5,5,4,554,14,Champions
CS-12355,Christine Sundaresam,Consumer,6,11,3202.1620000000003,831.9432,74,2014-08-15,2017-12-24,291.11,25.98,5,5,4,554,14,Champions
CS-12400,Christopher Schild,Home Office,2,9,3651.8585000000003,-342.80330000000004,47,2014-09-26,2017-12-28,405.76,-9.39,5,5,4,554,14,Champions
CS-12460,Chuck Sachs,Consumer,27,2,550.644,156.2593,13,2017-07-03,2017-12-03,275.32,28.38,4,1,1,411,6,New Customers
CS-12490,Cindy Schnelling,Corporate,424,4,1077.2285,-302.8761,33,2015-01-12,2016-11-01,269.31,-28.12,1,1,2,112,4,Lost Customers
CS-12505,Cindy Stewart,Consumer,58,6,5690.054999999999,-6626.389499999999,40,2014-03-26,2017-11-02,948.34,-116.46,3,3,5,335,11,Loyal Customers
